author name, poem title, bestTime
Percy Bysshe Shelley, The Cloud, 00:00
William Shakespeare, Sonnet 18, 00:00
William Shakespeare, Sonnet 73, 00:00
William Shakespeare, Sonnet 33, 00:05
William Shakespeare, Sonnet 02, 00:12
William Shakespeare, Sonnet 01, 00:07
Percy Bysshe Shelley, Ozymandias, 01:17
John Keats, , 00:00
Percy Bysshe Shelley, Music when Soft Voices Die (To--), 00:05
William Shakespeare, Sonnet 104, 01:43
John Keats, To Sleep, 02:50
Christina Rossetti, In An Artist's Studio, 00:59
Robert Burns, Ye Flowery Banks (Bonie Doon), 00:15
Christina Rossetti, In the Bleak Midwinter, 02:53
Christina Rossetti, Remember, 05:14
William Blake, The Clod and Pebble, 00:00
Thomas Wyatt, The Long Love, 00:00
Elizabeth Barrett Browning, How do I Love Thee?, 00:00
John Keats, To Lord Byron, 00:00
